2017-01-25 17:33:20,204 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-25 17:33:20,204 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-25 17:33:20,204 [Worker-55] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of GP
2017-01-25 17:33:20,204 [Worker-55] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for GP
2017-01-25 17:33:20,235 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-25 17:33:27,987 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-25 17:33:28,002 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-01-25 17:33:28,111 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-25 17:33:28,111 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-01-25 17:33:36,001 [Worker-54] INFO  o.e.m.i.launch.MavenLaunchDelegate - E:\GraduateProject\gitrepositories\GraduateProject\GP
2017-01-25 17:33:36,001 [Worker-54] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2017-01-25 17:34:20,749 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-25 17:34:20,749 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-25 17:34:20,749 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-25 17:34:20,765 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-25 17:34:24,217 [Worker-54] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-01-25 17:34:26,902 [Worker-54] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.study:user:1.0.0-BUILD-SNAPSHOT @ E:\GraduateProject\gitrepositories\GraduateProject\GP\pom.xml.
2017-01-25 17:34:34,431 [Worker-54] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /GP/src/main/java
2017-01-25 17:34:34,431 [Worker-54] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /GP/src/main/resources
2017-01-25 17:34:34,431 [Worker-54] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /GP/src/test/java
2017-01-25 17:34:34,431 [Worker-54] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /GP/src/test/resources
2017-01-25 17:34:38,601 [Worker-54] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for GP
2017-01-25 17:34:38,679 [Worker-54] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 14 sec
